,rationality,rank,switch_random,Run,Strat_Cooperate,Strat_Defect,Strat_TFT,Strat_Random,Strat_WSLS,Cooperators,Defectors
113,0.3017578125,0.4716796875,0.07177734375,113.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
114,0.3447265625,0.1552734375,0.07177734375,114.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
115,0.3447265625,0.4716796875,0.39111328125,115.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
116,0.3447265625,0.1552734375,0.39111328125,116.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
117,0.3017578125,0.4716796875,0.39111328125,117.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
118,0.3017578125,0.1552734375,0.07177734375,118.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
119,0.3017578125,0.1552734375,0.39111328125,119.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
120,0.8447265625,0.9716796875,0.32177734375,120.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
121,0.8017578125,0.9716796875,0.32177734375,121.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
122,0.8447265625,0.6552734375,0.32177734375,122.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
123,0.8447265625,0.9716796875,0.14111328125,123.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
124,0.8447265625,0.6552734375,0.14111328125,124.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
125,0.8017578125,0.9716796875,0.14111328125,125.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
126,0.8017578125,0.6552734375,0.32177734375,126.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
127,0.8017578125,0.6552734375,0.14111328125,127.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
128,0.5947265625,0.2216796875,0.19677734375,128.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
129,0.0517578125,0.2216796875,0.19677734375,129.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
130,0.5947265625,0.9052734375,0.19677734375,130.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
131,0.5947265625,0.2216796875,0.01611328125,131.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
132,0.5947265625,0.9052734375,0.01611328125,132.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
133,0.0517578125,0.2216796875,0.01611328125,133.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
134,0.0517578125,0.9052734375,0.19677734375,134.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
135,0.0517578125,0.9052734375,0.01611328125,135.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
136,0.0947265625,0.7216796875,0.44677734375,136.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
137,0.5517578125,0.7216796875,0.44677734375,137.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
138,0.0947265625,0.4052734375,0.44677734375,138.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
139,0.0947265625,0.7216796875,0.26611328125,139.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
140,0.0947265625,0.4052734375,0.26611328125,140.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
141,0.5517578125,0.7216796875,0.26611328125,141.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
142,0.5517578125,0.4052734375,0.44677734375,142.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
143,0.5517578125,0.4052734375,0.26611328125,143.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
144,0.0634765625,0.1904296875,0.02490234375,144.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
145,0.4580078125,0.1904296875,0.02490234375,145.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
146,0.0634765625,0.6240234375,0.02490234375,146.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
147,0.0634765625,0.1904296875,0.12548828125,147.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
148,0.0634765625,0.6240234375,0.12548828125,148.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
149,0.4580078125,0.1904296875,0.12548828125,149.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
150,0.4580078125,0.6240234375,0.02490234375,150.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
151,0.4580078125,0.6240234375,0.12548828125,151.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
152,0.5634765625,0.6904296875,0.27490234375,152.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
153,0.9580078125,0.6904296875,0.27490234375,153.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
154,0.5634765625,0.1240234375,0.27490234375,154.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
155,0.5634765625,0.6904296875,0.37548828125,155.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
156,0.5634765625,0.1240234375,0.37548828125,156.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
157,0.9580078125,0.6904296875,0.37548828125,157.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
158,0.9580078125,0.1240234375,0.27490234375,158.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
159,0.9580078125,0.1240234375,0.37548828125,159.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
160,0.2197265625,0.0966796875,0.25927734375,160.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
161,0.6767578125,0.0966796875,0.25927734375,161.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
162,0.2197265625,0.2802734375,0.25927734375,162.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
163,0.2197265625,0.0966796875,0.45361328125,163.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
164,0.2197265625,0.2802734375,0.45361328125,164.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
165,0.6767578125,0.0966796875,0.45361328125,165.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
166,0.6767578125,0.2802734375,0.25927734375,166.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
167,0.6767578125,0.2802734375,0.45361328125,167.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
168,0.7197265625,0.5966796875,0.00927734375,168.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
169,0.1767578125,0.5966796875,0.00927734375,169.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
170,0.7197265625,0.7802734375,0.00927734375,170.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
171,0.7197265625,0.5966796875,0.20361328125,171.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
172,0.7197265625,0.7802734375,0.20361328125,172.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
173,0.1767578125,0.5966796875,0.20361328125,173.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
174,0.1767578125,0.7802734375,0.00927734375,174.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
175,0.1767578125,0.7802734375,0.20361328125,175.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
176,0.9697265625,0.3466796875,0.38427734375,176.0,11798.0,9302.0,154.0,258.0,186.0,266.0,191.0
177,0.9267578125,0.3466796875,0.38427734375,177.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
178,0.9697265625,0.5302734375,0.38427734375,178.0,9267.0,11833.0,143.0,345.0,196.0,185.0,186.0
179,0.9697265625,0.3466796875,0.07861328125,179.0,9734.0,11366.0,134.0,363.0,196.0,204.0,158.0
180,0.9697265625,0.5302734375,0.07861328125,180.0,9231.0,11869.0,86.0,348.0,219.0,231.0,171.0
